Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771788290,250,,Aggregated,3534.500000,0.000000,16,17,18,18,23,51,92,120,200,300,440,325292,0,16,21.06219451140528,11.089666979387403,442.4553329590708,798.1633209547115
1771788291,250,,Aggregated,3502.000000,0.000000,16,17,18,18,23,52,92,120,200,300,440,328741,0,16,21.07677315421829,11.089666979387403,442.4553329590708,797.9721391612242
1771788292,250,,Aggregated,3492.600000,0.000000,16,17,18,18,23,51,91,120,200,300,440,332433,0,16,21.026542017543754,11.089666979387403,442.4553329590708,798.1206528834382
1771788293,250,,Aggregated,3515.100000,0.000000,16,17,18,18,23,51,91,120,200,300,440,335877,0,16,21.0456371488147,11.089666979387403,442.4553329590708,798.0136270122694
1771788294,250,,Aggregated,3522.300000,0.000000,16,17,18,18,23,51,92,120,200,300,440,339140,0,16,21.097284527027494,11.089666979387403,442.4553329590708,797.9890369758801
1771788295,250,,Aggregated,3518.100000,0.000000,16,17,18,18,23,51,92,120,200,300,440,342988,0,16,21.04231989735081,11.089666979387403,442.4553329590708,797.8624879004514
1771788296,250,,Aggregated,3515.700000,0.000000,16,17,18,18,22,51,92,120,200,300,440,346414,0,16,21.0574878298404,11.089666979387403,442.4553329590708,798.2358334247461
1771788297,250,,Aggregated,3506.900000,0.000000,16,17,18,18,23,51,92,120,200,300,440,349732,0,16,21.07002513474801,11.089666979387403,442.4553329590708,798.305042146558
1771788298,250,,Aggregated,3540.000000,0.000000,16,17,18,18,22,51,92,120,200,300,440,353316,0,16,21.081224707246122,11.089666979387403,442.4553329590708,798.2336152339549
1771788299,250,,Aggregated,3534.800000,0.000000,16,17,18,18,22,51,93,120,200,300,440,356823,0,16,21.090497021410748,11.089666979387403,442.4553329590708,798.197747903022
